"","acidity","citric.acid","residual.sugar","chlorides","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1",8.1,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,5
"2",8.68,0,2.6,0.098,67,0.9968,3.2,0.68,9.8,5
"3",8.56,0.04,2.3,0.092,54,0.997,3.26,0.65,9.8,5
"4",11.48,0.56,1.9,0.075,60,0.998,3.16,0.58,9.8,6
"5",8.1,0,1.9,0.076,34,0.9978,3.51,0.56,9.4,5
"6",8.06,0,1.8,0.075,40,0.9978,3.51,0.56,9.4,5
"7",8.5,0.06,1.6,0.069,59,0.9964,3.3,0.46,9.4,5
"8",7.95,0,1.2,0.065,21,0.9946,3.39,0.47,10,7
"9",8.38,0.02,2,0.073,18,0.9968,3.36,0.57,9.5,7
"11",7.28,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2,5
"13",6.21,0,1.6,0.089,59,0.9943,3.58,0.52,9.9,5
"17",8.78,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5,7
"21",9.12,0.48,1.8,0.077,60,0.9968,3.39,0.53,9.4,6
"22",7.99,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7,5
"23",8.33,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,5
"24",8.99,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4,5
"25",7.3,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7,6
"26",6.69,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3,5
"27",8.01,0.24,1.8,0.08,11,0.9962,3.28,0.59,9.5,5
"28",8.33,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5,5
"29",7.81,0,1.9,0.08,35,0.9972,3.47,0.55,9.4,5
"30",8.45,0,2,0.082,16,0.9964,3.38,0.59,9.8,6
"31",7.38,0.07,2.4,0.089,82,0.9958,3.35,0.54,10.1,5
"32",7.59,0,2.5,0.105,37,0.9966,3.46,0.57,10.6,6
"33",8.96,0.12,2.3,0.083,113,0.9966,3.17,0.66,9.8,5
"35",5.52,0.25,1.8,0.103,50,0.9957,3.38,0.55,9.2,5
"37",8.4,0.14,2.4,0.086,15,0.9975,3.42,0.6,10.8,6
"38",8.48,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7,7
"42",9.41,0.3,2.8,0.088,46,0.9976,3.26,0.51,9.3,4
"45",7.47,0.02,1.8,0.05,11,0.9962,3.48,0.52,9.5,5
"47",8.63,0.43,2.2,0.114,114,0.997,3.25,0.73,9.2,5
"48",8.99,0.52,1.6,0.113,37,0.9969,3.25,0.58,9.5,5
"49",6.8,0.23,1.6,0.066,12,0.9958,3.34,0.56,9.2,5
"50",5.91,0.37,1.4,0.074,96,0.9954,3.32,0.58,9.2,5
"51",9.46,0.26,1.7,0.074,23,0.9971,3.15,0.74,9.2,5
"52",7.12,0.04,2.2,0.069,15,0.9956,3.4,0.63,9.4,6
"53",7.1,0.04,2.1,0.068,14,0.9955,3.39,0.64,9.4,6
"55",8.11,0.15,2.8,0.11,73,0.9955,3.17,0.63,10.2,6
"57",10.62,0.57,3.4,0.07,10,0.9971,3.04,0.63,9.6,5
"59",8.39,0.18,2.3,0.076,54,0.9975,3.43,0.59,10,5
"60",7.69,0.31,2.4,0.074,46,0.9962,3.41,0.54,9.4,6
"61",9.2,0.4,2.2,0.079,52,0.998,3.44,0.64,9.2,5
"62",8.39,0.49,1.8,0.115,112,0.9968,3.21,0.71,9.3,5
"63",8.02,0.16,1.9,0.085,35,0.9968,3.38,0.62,9.5,7
"64",7.74,0.05,2,0.081,54,0.9966,3.39,0.57,9.8,5
"67",8.02,0.11,1.5,0.079,39,0.9968,3.42,0.58,9.6,5
"68",7.3,0.07,1.6,0.076,15,0.9962,3.44,0.58,10.7,5
"69",9.62,0.57,2,0.074,65,0.9969,3.28,0.79,10.7,5
"71",8.33,0.08,1.9,0.076,27,0.9967,3.32,0.54,9.5,6
"72",8.37,0.23,2.1,0.088,96,0.9962,3.32,0.48,9.5,5
"73",8.39,0.22,1.9,0.084,94,0.9961,3.31,0.48,9.5,5
"74",8.98,0.26,2.1,0.084,43,0.9976,3.31,0.53,9.2,4
"75",10.02,0.54,2.5,0.094,83,0.9984,3.28,0.82,9.6,5
"76",9.21,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5,5
"77",9.21,0.64,2.2,0.093,42,0.9986,3.54,0.66,10.5,5
"78",7.58,0,2.4,0.104,30,0.9966,3.52,0.55,10.7,6
"79",7.45,0.12,2,0.086,80,0.9958,3.38,0.52,10.1,5
"81",6.65,0.2,1.6,0.069,15,0.9958,3.41,0.56,9.2,5
